,Ram,Battery,Display,Price,company,Inbuilt_memory,fast_charging,Screen_resolution,Processor,Processor_name,rear,front,no_of_sim,Is_5G
781,8.0,5000,6.4,35499,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,32,Dual Sim,Yes
782,8.0,5000,6.82,34990,Samsung,128,50.0,1080 x 2400,Octa Core,Exynos,108,32,Dual Sim,Yes
783,8.0,4500,6.4,41740,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,10,Dual Sim,Yes
784,8.0,5000,6.72,43990,Samsung,128,45.0,1080 x 2400,Octa Core,Exynos,64,32,Dual Sim,Yes
785,12.0,5500,6.83,124990,Samsung,256,65.0,1800 x 3440,Octa Core,Snapdragon,200,60,Dual Sim,Yes
786,12.0,5000,6.8,89748,Samsung,256,45.0,480 x 960,Octa Core,Snapdragon,200,12,Dual Sim,Yes
787,8.0,4000,6.2,79999,Samsung,256,25.0,1080 x 2400,Deca Core,Exynos,50,12,Dual Sim,Yes
788,12.0,5000,6.8,99999,Samsung,256,45.0,480 x 960,Octa Core,Snapdragon,108,40,Dual Sim,Yes
789,12.0,5000,6.73,74990,Samsung,256,67.0,1800 x 3440,Octa Core,Snapdragon,108,12,Dual Sim,Yes
790,12.0,5000,6.7,99999,Samsung,256,45.0,480 x 960,Deca Core,Exynos,50,12,Dual Sim,Yes
791,12.0,5000,6.8,104999,Samsung,512,45.0,480 x 960,Octa Core,Snapdragon,200,12,Dual Sim,Yes
792,12.0,5000,6.8,81999,Samsung,512,45.0,480 x 960,Octa Core,Snapdragon,108,40,Dual Sim,Yes
793,12.0,5000,6.8,105999,Samsung,256,25.0,480 x 960,Octa Core,Exynos,108,40,Dual Sim,Yes
794,12.0,5000,6.9,103000,Samsung,128,45.0,480 x 960,Octa Core,Exynos,108,40,Dual Sim,No
795,8.0,4000,6.2,74999,Samsung,128,25.0,1080 x 2400,Deca Core,Exynos,50,12,Dual Sim,Yes
796,4.0,5000,6.56,8999,Vivo,128,15.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
797,6.0,5000,6.58,8990,Vivo,64,18.0,1080 x 2400,Octa Core,Snapdragon,13,8,Dual Sim,Yes
798,4.0,5000,6.51,8999,Vivo,64,10.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
799,4.0,5000,6.51,8980,Vivo,64,18.0,480 x 960,Octa Core,Helio,8,5,Dual Sim,No
800,2.0,5000,6.51,8999,Vivo,32,10.0,480 x 960,Octa Core,Helio,8,5,Dual Sim,No
801,3.0,5000,6.51,8489,Vivo,32,10.0,480 x 960,Octa Core,Helio,8,5,Dual Sim,No
802,3.0,5000,6.51,8660,Vivo,32,18.0,480 x 960,Octa Core,Helio,13,8,Dual Sim,No
803,4.0,5000,6.51,9999,Vivo,64,18.0,480 x 960,Octa Core,Helio,8,5,Dual Sim,No
804,4.0,6000,6.72,13499,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
805,6.0,5000,6.58,12999,Vivo,128,18.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
806,4.0,5000,6.56,13999,Vivo,128,15.0,480 x 960,Octa Core,Dimensity,50,8,Dual Sim,Yes
807,8.0,5000,6.64,12749,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
808,8.0,6000,6.64,12990,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
809,8.0,5000,6.58,13950,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
810,4.0,5000,6.35,12990,Vivo,128,18.0,480 x 960,Octa Core,Helio,13,16,Dual Sim,No
811,4.0,5000,6.44,14499,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
812,8.0,5000,6.64,12990,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,No
813,4.0,5000,6.58,14499,Vivo,128,18.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
814,8.0,6000,6.72,16499,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
815,4.0,5000,6.6,15990,Vivo,128,18.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
816,6.0,4500,6.38,15999,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
817,6.0,5000,6.56,15499,Vivo,128,15.0,480 x 960,Octa Core,Dimensity,50,8,Dual Sim,Yes
818,8.0,5000,6.58,16299,Vivo,128,18.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
819,8.0,6000,6.72,15990,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
820,8.0,5000,6.56,16999,Vivo,128,15.0,480 x 960,Octa Core,Dimensity,50,8,Dual Sim,Yes
821,6.0,5000,6.44,17999,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
822,8.0,5000,6.78,17990,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
823,8.0,4500,6.38,17999,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
824,8.0,4500,6.38,17995,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
825,6.0,5000,6.58,15190,Vivo,128,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
826,8.0,5000,6.6,18990,Vivo,128,33.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
827,8.0,5500,6.78,27999,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
828,8.0,5000,6.6,24990,Vivo,128,80.0,1080 x 2400,Octa Core,Snapdragon,108,32,Dual Sim,Yes
829,8.0,5000,6.78,23999,Vivo,128,66.0,1080 x 2400,Octa Core,Dimensity,64,16,Dual Sim,Yes
830,8.0,5000,6.78,23499,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,64,50,Dual Sim,Yes
831,8.0,5000,6.67,21999,Vivo,256,44.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
832,8.0,5000,6.67,21999,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
833,8.0,5000,6.78,24999,Vivo,256,66.0,1080 x 2400,Octa Core,Dimensity,64,16,Dual Sim,Yes
834,8.0,5000,6.67,21499,Vivo,256,44.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
835,4.0,5000,6.64,20999,Vivo,128,15.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
836,8.0,5000,6.67,20999,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
837,8.0,5000,6.78,25299,Vivo,256,44.0,1080 x 2400,Octa Core,Snapdragon,64,50,Dual Sim,Yes
838,8.0,4500,6.44,21490,Vivo,128,44.0,1080 x 2400,Octa Core,Dimensity,64,50,Dual Sim,Yes
839,8.0,5000,6.67,24999,Vivo,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
840,8.0,6000,6.68,24990,Vivo,256,44.0,480 x 960,Octa Core,Snapdragon,50,8,Dual Sim,Yes
841,8.0,4500,6.38,20198,Vivo,128,44.0,1080 x 2400,Octa Core,Dimensity,64,16,Dual Sim,Yes
842,8.0,5000,6.78,30799,Vivo,128,80.0,1260 x 2800,Octa Core,Snapdragon,50,50,Dual Sim,Yes
843,8.0,5000,6.7,35990,Vivo,128,100.0,1260 x 2800,Octa Core,Snapdragon,50,50,Dual Sim,Yes
844,8.0,5000,6.78,32999,Vivo,128,66.0,1080 x 2400,Octa Core,Dimensity,50,50,Dual Sim,Yes
845,8.0,5000,6.78,35999,Vivo,256,80.0,1260 x 2800,Octa Core,Snapdragon,50,50,Dual Sim,Yes
846,8.0,5000,6.78,36199,Vivo,256,80.0,1260 x 2800,Octa Core,Dimensity,50,50,Dual Sim,Yes
847,12.0,5000,6.82,39990,Vivo,256,80.0,1260 x 2800,Octa Core,Dimensity,50,50,Dual Sim,Yes
